,LowerBound FoldChange,Maximum Likelihood FoldChange,Upperbound FoldChange,Conservative Estimate FoldChange,Uncorrected Z-Score,Z-Score Corrected for Multiple Testing,symbol,OvaryLog2FC,WTLog2FC,UsedForOrdering,EmbryonicallyDimorphic
ENSMUSG00000028796,-8.07618371542565,-4.56644032507711,-0.981218582247979,-0.981218582247979,-2.4745023000508,-0.490820826115826,Phc2,0.573863651712646,-0.161213721052708,no,no
ENSMUSG00000055447,-7.69879195302258,-4.26452691515467,-0.905740229767361,-0.905740229767361,-2.4749992900939,-0.490820826115826,Cd47,-0.482968044482116,-1.88952223858556,no,no
ENSMUSG00000043885,-8.56679300654963,-5.66087643604603,-1.43408869713166,-1.43408869713166,-2.48819176128053,-0.501313583863741,Slc36a4,0.222927563445732,-0.326532452603576,no,no
ENSMUSG00000032334,-8.15166206790625,-4.64191867755774,-1.05669693472859,-1.05669693472859,-2.4895735837738,-0.501793431833807,Loxl1,0.28670447162595,-0.998482060074431,no,no
ENSMUSG00000028878,-8.49131465406903,-5.13252796868172,-1.13217528720921,-1.13217528720921,-2.49392878819576,-0.503138229287713,Fam76a,1.45828225749135,3.23126858130789,no,no
ENSMUSG00000068631,-7.47235689558074,-4.30226609139497,-0.943479406007672,-0.943479406007672,-2.50184040307058,-0.508638815520491,NA,-0.597104969991482,0.567048259314275,no,no
ENSMUSG00000056174,-6.41565996085215,-3.81165680027099,-0.981218582247979,-0.981218582247979,-2.50323179862242,-0.508638815520491,Col8a2,1.60173876281796,-1.76626478534188,no,no
ENSMUSG00000003423,-7.92522701046442,-5.6231372598057,-1.88695881201534,-1.88695881201534,-2.51091471310325,-0.509213436568799,Pih1d1,-0.349501745116645,2.375049395073,no,no
ENSMUSG00000031342,-8.18940124414659,-4.22678773891436,-0.943479406007672,-0.943479406007672,-2.51214202782095,-0.509577286032201,Gpm6b,2.55863917852819,0.0182760326468452,no,no
ENSMUSG00000039782,-8.52905383030933,-6.03826819844907,-1.13217528720921,-1.13217528720921,-2.52116967574192,-0.526875766451217,Cpeb2,0.800907296564333,5.26509693994367,no,no
ENSMUSG00000017776,-7.39687854310014,-4.30226609139497,-1.01895775848828,-1.01895775848828,-2.52155321114746,-0.526875766451217,Crk,0.0531547446787571,-1.37019788443482,no,no
ENSMUSG00000087201,-9.81218582247976,-7.1704434856583,-2.52852480810055,-2.52852480810055,-2.53578399577619,-0.550277364489657,NA,NA,-2.58884229816577,no,no
ENSMUSG00000037440,-9.58575076503792,-6.90626925197616,-2.56626398434086,-2.56626398434086,-2.55032428523648,-0.565784673873891,Vnn1,-0.412344500584099,-5.14602667059984,no,no
